序号,日期,商品房销售面积：累计同比,商品房销售额：累计同比,产量:发电量:当月同比,PPI:生产资料:当月同比,PPI:全部工业品:当月同比,工业增加值:当月同比,CPI:食品:当月同比,CPI:非食品:当月同比,上证综合指数
,指标ID,EMI00120308,EMI00120312,EMI00011534,EMM00073351,EMM00073348,EMM00008445,EMM00072302,EMM00072303,EMM00070245
1,2024-07-03,,,,,,,,,"2,982.38"
2,2024-07-02,,,,,,,,,"2,997.01"
3,2024-07-01,,,,,,,,,"2,994.73"
4,2024-06-28,,,,,,,,,"2,967.40"
5,2024-06-27,,,,,,,,,"2,945.85"
6,2024-06-26,,,,,,,,,"2,972.53"
7,2024-06-25,,,,,,,,,"2,950.00"
8,2024-06-24,,,,,,,,,"2,963.10"
9,2024-06-21,,,,,,,,,"2,998.14"
10,2024-06-20,,,,,,,,,"3,005.44"
11,2024-06-19,,,,,,,,,"3,018.05"
12,2024-06-18,,,,,,,,,"3,030.25"
13,2024-06-17,,,,,,,,,"3,015.89"
14,2024-06-14,,,,,,,,,"3,032.63"
15,2024-06-13,,,,,,,,,"3,028.92"
16,2024-06-12,,,,,,,,,"3,037.47"
17,2024-06-11,,,,,,,,,"3,028.05"
18,2024-06-07,,,,,,,,,"3,051.28"
19,2024-06-06,,,,,,,,,"3,048.79"
20,2024-06-05,,,,,,,,,"3,065.40"
21,2024-06-04,,,,,,,,,"3,091.20"
22,2024-06-03,,,,,,,,,"3,078.49"
23,2024-05-31,-20.30,-27.90,2.30,-1.60,-1.40,5.60,-2.00,0.80,"3,086.81"
24,2024-05-30,,,,,,,,,"3,091.68"
25,2024-05-29,,,,,,,,,"3,111.02"
26,2024-05-28,,,,,,,,,"3,109.57"
27,2024-05-27,,,,,,,,,"3,124.04"
28,2024-05-24,,,,,,,,,"3,088.87"
29,2024-05-23,,,,,,,,,"3,116.39"
30,2024-05-22,,,,,,,,,"3,158.54"
31,2024-05-21,,,,,,,,,"3,157.97"
32,2024-05-20,,,,,,,,,"3,171.15"
33,2024-05-17,,,,,,,,,"3,154.03"
