Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20210113,601989.SH,-0.011261582577251184,10420530.1431,5.0,0.0050478525892601045,国防军工
20210203,300802.SZ,0.06777827675815473,614070.382,3.0,0.053136355717114725,机械设备
20210210,603650.SH,0.05617554824544735,2146472.2125,5.0,0.05383754832985033,化工
20210224,000032.SZ,-0.06406958345606462,962388.5905,4.0,-0.034274877114106705,通信
20210224,002422.SZ,-0.049715654439151935,3147854.7637,5.0,-0.019920948097194024,医药生物
20210303,000400.SZ,-0.06398427175452848,1576015.584,4.0,-0.0024326063286017607,电气设备
20210303,002061.SZ,0.010849851579992853,813007.8262,4.0,0.07240151700591957,建筑装饰
20210303,300864.SZ,-0.053377511831071756,536688.0,3.0,0.00817415359485496,公用事业
20210303,600517.SH,-0.05481411928298574,3985749.7136,5.0,0.0067375461429409755,电气设备
20210304,603949.SH,-0.07887084203208128,370097.9604,2.0,-0.0028950313138359496,化工
20210305,603429.SH,-0.056981461911217,1416770.3538,4.0,-0.028592050994260987,轻工制造
20210312,000543.SZ,0.03883493845673058,949815.7357,4.0,0.03130207876685942,公用事业
20210312,000883.SZ,0.09685947382203808,2596472.3449,5.0,0.08932661413216691,公用事业
20210312,002060.SZ,0.028572831194310755,397948.7412,2.0,0.021039971504439592,建筑装饰
20210312,002272.SZ,0.13618683559527045,242948.87,1.0,0.1286539759053993,机械设备
20210317,002309.SZ,-0.06691460502732005,516097.9443,3.0,-0.06094227830931498,电气设备
20210317,002452.SZ,-0.06951069532754461,350493.0159,2.0,-0.06353836860953954,电气设备
20210319,300129.SZ,-0.0013794575605259318,550871.3941,3.0,0.030531568737248715,电气设备
20210331,603080.SH,0.10893007592356607,230079.0,1.0,0.10053917418678116,公用事业
20210401,300458.SZ,0.2514566766630999,1264422.8917,4.0,0.23759472416228533,电子
20210408,002536.SZ,0.0034190038722823335,299425.6648,2.0,0.021724583601407388,汽车
20210408,601099.SH,0.040817821892389805,2522037.0569,5.0,0.05912340162151486,非银金融
20210409,002106.SZ,0.03282863041816375,891445.8101,4.0,0.055774893143326953,电子
20210414,000920.SZ,-0.06438902295165749,333802.0,2.0,-0.0972170553233922,公用事业
20210414,002204.SZ,0.01302033628456667,780273.4929,4.0,-0.019807696087168036,机械设备
20210414,300437.SZ,-0.01267082320113111,251322.6533,1.0,-0.045498855572865815,化工
20210421,000801.SZ,0.05583703295157405,634140.1205,3.0,0.05783567231734332,家用电器
20210421,603387.SH,0.13298524356901242,965864.6314,4.0,0.1349838829347817,医药生物
20210423,000705.SZ,0.003759273201497937,264959.7658,2.0,-0.0028140889834427085,医药生物
20210423,603009.SH,-0.058630877736320475,229402.3758,1.0,-0.06520423992126112,汽车
20210428,000829.SZ,0.0028934501801569645,736022.1145,4.0,0.01565576893749654,商业贸易
20210428,603001.SH,0.006241366378976654,326798.7,2.0,0.01900368513631623,纺织服装
20210429,600512.SH,0.05067499705299072,474874.1411,3.0,0.06760811373006204,建筑装饰
20210430,603020.SH,0.6104938765948003,348800.0,2.0,0.6283656646219059,食品饮料
20210514,300403.SZ,0.021021149283161122,428733.0,3.0,-0.007198035711523776,家用电器
20210519,600165.SH,0.1746796526942409,456132.5942,3.0,0.15442842139784485,化工
20210520,300741.SZ,0.034552482236236415,3215509.48,5.0,0.011037737278315696,食品饮料
20210520,600418.SH,-0.022681604967581537,1878165.6201,5.0,-0.046196349925502256,汽车
20210521,002508.SZ,0.09090926891804907,4050434.6454,5.0,0.06204546639269459,家用电器
20210527,000019.SZ,-0.007642966452150679,953146.6551,4.0,-0.01163744515492171,商业贸易
20210528,600703.SH,0.008093011554578977,12273395.1839,5.0,0.014236532886363173,电子
20210602,300145.SZ,0.006270100408594992,636658.0561,3.0,0.021067781024644905,机械设备
20210602,600230.SH,0.043955143004669184,510298.879,3.0,0.0587528236207191,化工
20210602,603787.SH,0.04248614590496014,570384.0,3.0,0.05728382652101005,汽车
20210603,002132.SZ,-0.013773531525859806,442287.4379,3.0,-0.010364840317503843,机械设备
20210604,300266.SZ,0.12290567717448497,573579.821,3.0,0.11307187071462166,公用事业
20210604,600478.SH,0.030162945201713143,730750.3726,4.0,0.020329138741849828,电子
20210609,300542.SZ,0.06355954390011331,457927.389,3.0,0.08802467354877397,计算机
20210609,300713.SZ,-0.062134123122104756,303255.5625,2.0,-0.0376689934734441,电气设备
20210609,300821.SZ,-0.013392579999235266,1362000.0,4.0,0.01107254964942539,化工
20210609,603918.SH,0.045806511784381776,337544.3388,2.0,0.07027164143304243,计算机
20210611,001696.SZ,-0.018300149303819957,891975.9707,4.0,0.0037345459863510344,汽车
