Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
000925.SZ,20230118,155,2022-08-16
002331.SZ,20230120,156,2022-08-17
000541.SZ,20230201,153,2022-09-01
002058.SZ,20230201,168,2022-08-17
002145.SZ,20230201,176,2022-08-09
002218.SZ,20230201,168,2022-08-17
002239.SZ,20230201,173,2022-08-12
002527.SZ,20230201,169,2022-08-16
603656.SH,20230201,173,2022-08-12
002463.SZ,20230202,55,2022-12-09
001266.SZ,20230203,170,2022-08-17
002806.SZ,20230203,168,2022-08-19
002547.SZ,20230208,174,2022-08-18
002298.SZ,20230209,177,2022-08-16
002350.SZ,20230209,160,2022-09-02
002677.SZ,20230215,30,2023-01-16
002841.SZ,20230215,237,2022-06-23
300724.SZ,20230215,105,2022-11-02
300811.SZ,20230215,105,2022-11-02
002151.SZ,20230216,196,2022-08-04
603978.SH,20230216,183,2022-08-17
001336.SZ,20230222,0,
603211.SH,20230222,0,
002665.SZ,20230223,170,2022-09-06
300673.SZ,20230223,135,2022-10-11
601669.SH,20230301,176,2022-09-06
000919.SZ,20230301,82,2022-12-09
301087.SZ,20230301,82,2022-12-09
300627.SZ,20230302,209,2022-08-05
603206.SH,20230302,0,
002901.SZ,20230308,114,2022-11-14
300429.SZ,20230309,205,2022-08-16
301036.SZ,20230310,492,2021-11-03
600975.SH,20230315,251,2022-07-07
603078.SH,20230315,211,2022-08-16
601678.SH,20230317,491,2021-11-11
600203.SH,20230407,485,2021-12-08
601599.SH,20230412,320,2022-05-27
001330.SZ,20230412,89,2023-01-13
002846.SZ,20230511,126,2023-01-05
300745.SZ,20230511,72,2023-02-28
603197.SH,20230511,115,2023-01-16
301361.SZ,20230517,0,
002820.SZ,20230519,128,2023-01-11
002728.SZ,20230524,79,2023-03-06
301168.SZ,20230525,65,2023-03-21
603318.SH,20230526,179,2022-11-28
002806.SZ,20230607,97,2023-03-02
002989.SZ,20230607,119,2023-02-08
000561.SZ,20230607,91,2023-03-08
600257.SH,20230607,154,2023-01-04
000926.SZ,20230608,178,2022-12-12
600159.SH,20230609,175,2022-12-16
300051.SZ,20230614,96,2023-03-10
600929.SH,20230614,300,2022-08-18
000757.SZ,20230615,163,2023-01-03
600616.SH,20230615,108,2023-02-27
002079.SZ,20230621,188,2022-12-15
002935.SZ,20230621,119,2023-02-22
300585.SZ,20230621,47,2023-05-05
603703.SH,20230621,198,2022-12-05
000635.SZ,20230628,117,2023-03-03
002547.SZ,20230630,123,2023-02-27
002576.SZ,20230630,119,2023-03-03
002057.SZ,20230630,123,2023-02-27
000963.SZ,20230705,146,2023-02-09
002378.SZ,20230705,113,2023-03-14
300102.SZ,20230705,92,2023-04-04
300124.SZ,20230705,211,2022-12-06
300552.SZ,20230705,56,2023-05-10
300835.SZ,20230705,57,2023-05-09
600206.SH,20230705,86,2023-04-10
688311.SH,20230705,152,2023-02-03
300177.SZ,20230706,106,2023-03-22
000537.SZ,20230707,304,2022-09-06
600426.SH,20230712,138,2023-02-24
600875.SH,20230712,231,2022-11-23
300322.SZ,20230712,104,2023-03-30
002383.SZ,20230712,114,2023-03-20
000932.SZ,20230712,119,2023-03-15
000581.SZ,20230712,132,2023-03-02
603161.SH,20230713,136,2023-02-27
301076.SZ,20230719,135,2023-03-06
300106.SZ,20230721,205,2022-12-28
300410.SZ,20230721,225,2022-12-08
600802.SH,20230726,481,2022-04-01
600622.SH,20230726,218,2022-12-20
600606.SH,20230726,226,2022-12-12
600533.SH,20230726,243,2022-11-25
600369.SH,20230726,679,2021-09-15
600340.SH,20230726,229,2022-12-09
300762.SZ,20230726,111,2023-04-06
002314.SZ,20230726,217,2022-12-21
002244.SZ,20230726,289,2022-10-10
000863.SZ,20230726,202,2023-01-05
000006.SZ,20230726,196,2023-01-11
600022.SH,20230727,399,2022-06-23
