Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
601989.SH,20210113,148,2020-08-18
300802.SZ,20210203,104,2020-10-22
603650.SH,20210210,85,2020-11-17
000032.SZ,20210224,190,2020-08-18
002422.SZ,20210224,176,2020-09-01
000400.SZ,20210303,92,2020-12-01
002061.SZ,20210303,197,2020-08-18
300864.SZ,20210303,0,
600517.SH,20210303,230,2020-07-16
603949.SH,20210304,146,2020-10-09
603429.SH,20210305,58,2021-01-06
000543.SZ,20210312,239,2020-07-16
000883.SZ,20210312,203,2020-08-21
002060.SZ,20210312,210,2020-08-14
002272.SZ,20210312,37,2021-02-03
002309.SZ,20210317,54,2021-01-22
002452.SZ,20210317,230,2020-07-30
300129.SZ,20210319,133,2020-11-06
603080.SH,20210331,195,2020-09-17
300458.SZ,20210401,106,2020-12-16
002536.SZ,20210408,274,2020-07-08
601099.SH,20210408,226,2020-08-25
002106.SZ,20210409,226,2020-08-26
000920.SZ,20210414,70,2021-02-03
002204.SZ,20210414,268,2020-07-20
300437.SZ,20210414,69,2021-02-04
000801.SZ,20210421,247,2020-08-17
603387.SH,20210421,182,2020-10-21
000705.SZ,20210423,227,2020-09-08
603009.SH,20210423,252,2020-08-14
000829.SZ,20210428,168,2020-11-11
603001.SH,20210428,253,2020-08-18
600512.SH,20210429,374,2020-04-20
603020.SH,20210430,245,2020-08-28
300403.SZ,20210514,178,2020-11-17
600165.SH,20210519,173,2020-11-27
300741.SZ,20210520,157,2020-12-14
600418.SH,20210520,134,2021-01-06
002508.SZ,20210521,130,2021-01-11
000019.SZ,20210527,63,2021-03-25
600703.SH,20210528,128,2021-01-20
300145.SZ,20210602,259,2020-09-16
600230.SH,20210602,79,2021-03-15
603787.SH,20210602,85,2021-03-09
002132.SZ,20210603,80,2021-03-15
300266.SZ,20210604,261,2020-09-16
600478.SH,20210604,157,2020-12-29
300542.SZ,20210609,126,2021-02-03
300713.SZ,20210609,119,2021-02-10
300821.SZ,20210609,125,2021-02-04
603918.SH,20210609,43,2021-04-27
001696.SZ,20210611,287,2020-08-28
300925.SZ,20210611,0,
600732.SH,20210611,87,2021-03-16
688599.SH,20210611,136,2021-01-26
300237.SZ,20210617,85,2021-03-24
300323.SZ,20210617,31,2021-05-17
300200.SZ,20210618,232,2020-10-29
300847.SZ,20210623,182,2020-12-23
300948.SZ,20210623,0,
600391.SH,20210623,140,2021-02-03
000559.SZ,20210625,73,2021-04-13
300746.SZ,20210625,142,2021-02-03
603105.SH,20210625,303,2020-08-26
002433.SZ,20210630,84,2021-04-07
000050.SZ,20210709,169,2021-01-21
002031.SZ,20210714,314,2020-09-03
002043.SZ,20210714,90,2021-04-15
300185.SZ,20210721,272,2020-10-22
300786.SZ,20210722,192,2021-01-11
300476.SZ,20210728,195,2021-01-14
300106.SZ,20210729,204,2021-01-06
688011.SH,20210805,59,2021-06-07
300227.SZ,20210811,205,2021-01-18
002505.SZ,20210812,219,2021-01-05
300848.SZ,20210818,120,2021-04-20
601611.SH,20210819,205,2021-01-26
000922.SZ,20210820,172,2021-03-01
002668.SZ,20210820,141,2021-04-01
600072.SH,20210826,227,2021-01-11
601390.SH,20210826,415,2020-07-07
601766.SH,20210826,178,2021-03-01
000528.SZ,20210901,135,2021-04-19
002320.SZ,20210901,126,2021-04-28
600021.SH,20210901,155,2021-03-30
600030.SH,20210901,99,2021-05-25
000543.SZ,20210903,149,2021-04-07
002165.SZ,20210908,359,2020-09-14
300081.SZ,20210909,125,2021-05-07
600844.SH,20210916,108,2021-05-31
002153.SZ,20210924,100,2021-06-16
000150.SZ,20211013,48,2021-08-26
000615.SZ,20211013,44,2021-08-30
601128.SH,20211022,219,2021-03-17
605286.SH,20211027,0,
300496.SZ,20211029,115,2021-07-06
002916.SZ,20211103,92,2021-08-03
002185.SZ,20211105,119,2021-07-09
605259.SH,20211110,0,
600699.SH,20211112,45,2021-09-28
300224.SZ,20211117,78,2021-08-31
600416.SH,20211117,75,2021-09-03
605199.SH,20211117,114,2021-07-26
002232.SZ,20211118,125,2021-07-16
300706.SZ,20211118,86,2021-08-24
688718.SH,20211118,0,
300166.SZ,20211119,127,2021-07-15
300410.SZ,20211119,79,2021-09-01
002553.SZ,20211124,92,2021-08-24
002177.SZ,20211126,183,2021-05-27
300941.SZ,20211126,0,
300237.SZ,20211201,138,2021-07-16
002903.SZ,20211202,79,2021-09-14
300948.SZ,20211202,140,2021-07-15
002043.SZ,20211209,113,2021-08-18
603126.SH,20211215,82,2021-09-24
300177.SZ,20211216,49,2021-10-28
603697.SH,20211216,171,2021-06-28
601599.SH,20211217,196,2021-06-04
300108.SZ,20211222,135,2021-08-09
603566.SH,20211222,196,2021-06-09
300110.SZ,20211224,225,2021-05-13
002345.SZ,20211229,112,2021-09-08
002440.SZ,20211229,106,2021-09-14
300024.SZ,20211229,133,2021-08-18
605108.SH,20211230,210,2021-06-03
