Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20210113,601989.SH,-0.010695187165775555,10420530.1431,5.0,0.005614248000735733,国防军工
20210203,300802.SZ,0.06779661016949134,614070.382,3.0,0.05315468912845134,机械设备
20210210,603650.SH,0.056002217909620455,2146472.2125,5.0,0.05366421799402343,化工
20210224,000032.SZ,-0.06415055105011458,962388.5905,4.0,-0.03435584470815667,通信
20210224,002422.SZ,-0.049653158086892746,3147854.7637,5.0,-0.019858451744934835,医药生物
20210303,000400.SZ,-0.06396698478204765,1576015.584,4.0,-0.0024153193561209374,电气设备
20210303,002061.SZ,0.011336032388663986,813007.8262,4.0,0.0728876978145907,建筑装饰
20210303,300864.SZ,-0.053378054623861915,536688.0,3.0,0.008173610802064801,公用事业
20210303,600517.SH,-0.054848463539835524,3985749.7136,5.0,0.006703201886091192,电气设备
20210304,603949.SH,-0.07897934386391259,370097.9604,2.0,-0.0030035331456672587,化工
20210305,603429.SH,-0.05695733895312405,1416770.3538,4.0,-0.028567928036168033,轻工制造
20210312,000543.SZ,0.03890641430073605,949815.7357,4.0,0.031373554610864884,公用事业
20210312,000883.SZ,0.09678988326848281,2596472.3449,5.0,0.08925702357861165,公用事业
20210312,002060.SZ,0.028571428571428692,397948.7412,2.0,0.02103856888155753,建筑装饰
20210312,002272.SZ,0.136182336182336,242948.87,1.0,0.12864947649246483,机械设备
20210317,002309.SZ,-0.06653523903400671,516097.9443,3.0,-0.06056291231600164,电气设备
20210317,002452.SZ,-0.06972789115646238,350493.0159,2.0,-0.06375556443845731,电气设备
20210319,300129.SZ,-0.0013701758392326013,550871.3941,3.0,0.030540850458542046,电气设备
20210331,603080.SH,0.10917615539182846,230079.0,1.0,0.10078525365504354,公用事业
20210401,300458.SZ,0.2514044943820224,1264422.8917,4.0,0.23754254188120782,电子
20210408,002536.SZ,0.0032862306933949537,299425.6648,2.0,0.021591810422520008,汽车
20210408,601099.SH,0.04089979550102241,2522037.0569,5.0,0.05920537523014746,非银金融
20210409,002106.SZ,0.03271692745376953,891445.8101,4.0,0.05566319017893273,电子
20210414,000920.SZ,-0.06421232876712335,333802.0,2.0,-0.09704036113885806,公用事业
20210414,002204.SZ,0.01304347826086949,780273.4929,4.0,-0.019784554110865216,机械设备
20210414,300437.SZ,-0.012662807525325559,251322.6533,1.0,-0.045490839897060265,化工
20210421,000801.SZ,0.05582865168539364,634140.1205,3.0,0.05782729105116291,家用电器
20210421,603387.SH,0.1329787234042552,965864.6314,4.0,0.13497736277002448,医药生物
20210423,000705.SZ,0.0037011334721257505,264959.7658,2.0,-0.002872228712814895,医药生物
20210423,603009.SH,-0.058117498420720115,229402.3758,1.0,-0.06469086060566076,汽车
20210428,000829.SZ,0.002914319020788758,736022.1145,4.0,0.015676637778128333,商业贸易
20210428,603001.SH,0.005825242718446422,326798.7,2.0,0.018587561475785996,纺织服装
20210429,600512.SH,0.05084745762711851,474874.1411,3.0,0.06778057430418982,建筑装饰
20210430,603020.SH,0.6105656848994856,348800.0,2.0,0.6284374729265912,食品饮料
